DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_load_forecast_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual,DE_50hertz_wind_offshore_generation_actual,DE_50hertz_wind_onshore_generation_actual,DE_LU_load_actual_entsoe_transparency,DE_LU_load_forecast_entsoe_transparency,DE_LU_solar_generation_actual,DE_LU_wind_generation_actual,DE_LU_wind_offshore_generation_actual,DE_LU_wind_onshore_generation_actual,DE_amprion_load_actual_entsoe_transparency,DE_amprion_load_forecast_entsoe_transparency,DE_amprion_solar_generation_actual,DE_amprion_wind_onshore_generation_actual,DE_tennet_load_actual_entsoe_transparency,DE_tennet_load_forecast_entsoe_transparency,DE_tennet_solar_generation_actual,DE_tennet_wind_generation_actual,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_load_actual_entsoe_transparency,DE_transnetbw_load_forecast_entsoe_transparency,DE_transnetbw_solar_generation_actual,DE_transnetbw_wind_onshore_generation_actual,hour,day,month,year,lag_1_hour,rolling_24_hour_mean
39950.06,42509.86,,2066.09,,,11925.86,,,4200.82,,,7725.04,,7829.13,8281.11,525.0,2338.33,555.04,1783.29,40232.06,42849.86,2066.09,11925.86,4200.82,7725.04,15371.03,16510.39,418.31,1958.0,12047.15,12817.36,993.57,7498.530000000001,3645.78,3852.75,4702.75,4901.0,129.21,131.0,5,23,5,2020,36996.95,46149.15302083333
42641.84,44535.66,,0.0,,,30100.760000000002,,,4826.77,,,25273.99,,8325.8,8641.5,0.0,7596.26,259.98,7336.28,42936.84,44826.66,0.0,30100.760000000002,4826.77,25273.99,16586.36,16949.07,0.0,6298.0,12535.42,13998.09,0.0,14969.5,4566.79,10402.71,5194.26,4947.0,0.0,1237.0,22,21,4,2020,46115.0,53856.47791666666
46581.6,41656.84,49596.0,0.0,0.0,49408.0,18199.95,0.3684,5243.0,4184.63,0.7981,44165.0,14015.32,0.3173,9216.4,7607.87,0.0,4996.6,499.88,4496.72,47027.57,42050.84,0.0,18199.95,4184.63,14015.32,18036.76,17195.51,0.0,2607.0,13860.37,11616.53,0.0,9885.46,3684.75,6200.71,5468.07,5236.93,0.0,710.89,0,25,6,2019,47669.73,58484.34645833333
63810.67,58910.17,39378.0,0.0,0.0,35836.0,16878.02,0.471,2461.0,2954.78,1.2006,33374.0,13923.24,0.4172,11473.3,8814.43,0.0,6634.139999999999,330.77,6303.37,,,,,,,23949.43,22262.39,0.0,1842.0,19957.49,19587.99,0.0,8091.030000000001,2624.01,5467.02,8430.45,8245.36,0.0,310.85,18,4,10,2016,66665.86,55981.79125
47800.29,47250.8,48675.0,0.0,0.0,49089.0,19863.28,0.4046,5081.0,3984.92,0.7843,44008.0,15878.36,0.3608,9029.86,7884.06,0.0,5591.0599999999995,405.66,5185.4,48266.38,47659.8,0.0,19863.28,3984.92,15878.36,18003.99,18068.92,0.0,2867.0,14583.93,15301.35,0.0,11249.810000000001,3579.26,7670.55,6182.51,5996.47,0.0,155.41,3,16,2,2019,47989.78,62141.28229166666
58866.46,61239.38,,6351.83,,,25574.83,,,6202.24,,,19372.59,,12672.4,12198.72,1645.0,8539.689999999999,1027.12,7512.57,59227.46,61622.38,6351.83,25574.83,6202.24,19372.59,21965.02,23691.37,1312.37,2880.0,17533.74,18090.29,2283.18,13974.25,5175.12,8799.13,6695.3,7259.0,1111.28,180.89,16,2,4,2020,58054.59,55891.42895833333
60504.8,59370.62,47869.0,0.0,0.0,49003.0,33349.0,0.6806,5051.0,4460.96,0.8832,43952.0,28888.04,0.6573,11280.1,10424.4,0.0,10130.28,1022.08,9108.2,61042.47,59871.62,0.0,33349.0,4460.96,28888.04,23181.81,22531.9,0.0,6937.0,18519.66,17800.01,0.0,15257.670000000002,3438.88,11818.79,7523.23,8614.31,0.0,1024.05,21,16,1,2019,63450.96,66132.24083333333
67813.41,66056.42,40962.0,16102.87,0.3931,39831.0,3215.48,0.0807,3121.0,29.09,0.0093,36710.0,3186.39,0.0868,12466.8,10171.9,3535.0,790.13,21.77,768.36,,,,,,,25543.77,25742.58,4235.21,803.0,20631.67,21262.95,6008.66,1205.3999999999999,7.32,1198.08,9171.17,8878.99,2324.0,416.95,11,10,7,2017,68103.18,51872.231770833336
67874.68,68786.55,41690.0,0.0,0.0,42505.0,6220.6,0.1463,3483.0,1466.76,0.4211,39022.0,4753.84,0.1218,12724.0,12674.1,0.0,1904.4599999999998,123.11,1781.35,,,,,,,25175.1,25660.75,0.0,418.0,21394.95,22007.7,0.0,3860.46,1343.65,2516.81,8580.63,8444.0,0.0,37.68,18,20,12,2017,70052.21,62931.3190625
67863.05,65105.97,42953.0,4181.59,0.0974,44841.0,15678.49,0.3496,3483.0,4178.59,1.1997,41358.0,11499.9,0.2781,14067.5,10841.7,1495.0,5260.98,323.57,4937.41,,,,,,,24743.4,25312.67,711.79,2249.0,20636.52,20401.85,1518.8,8017.639999999999,3855.02,4162.62,8415.63,8549.75,456.0,150.87,6,4,4,2018,63243.0,59824.24510416667
59319.73,61438.31,,6908.76,,,10386.47,,,2947.93,,,7438.54,,12914.7,11916.1,1014.0,2026.14,204.15,1821.99,59617.73,61799.31,6908.76,10386.47,2947.93,7438.54,21642.91,23366.53,1647.6,1347.0,18050.73,18899.68,2923.1,6828.33,2743.78,4084.55,6711.39,7256.0,1324.06,185.0,15,30,3,2020,58618.5,54136.99885416666
55641.08,54306.62,44890.0,0.0,0.0,46178.0,14114.380000000001,0.3057,3552.0,3199.54,0.9008,42625.0,10914.84,0.2561,11307.9,9493.82,0.0,2893.22,355.2,2538.02,,,,,,,20519.59,20240.15,0.0,1760.0,16826.36,17645.05,0.0,9325.900000000001,2844.34,6481.56,6987.23,6927.6,0.0,135.26,19,27,7,2018,57505.68,58559.606250000004
62309.24,61267.15,39127.0,12924.7,0.3303,34866.0,1337.05,0.0383,2350.0,13.33,0.0057,32516.0,1323.72,0.0407,11458.2,10521.8,2498.0,909.97,1.14,908.83,,,,,,,23158.04,22683.53,3344.28,55.0,19333.01,19849.75,5065.42,363.35,12.19,351.16,8359.99,8212.07,2017.0,8.73,15,19,7,2016,62713.8,56821.79697916668
40729.11,47333.19,,2640.36,,,7263.6,,,2301.47,,,4962.13,,8904.27,9759.79,567.0,2812.7599999999998,983.68,1829.08,41060.92,47985.19,2640.36,7263.6,2301.47,4962.13,14757.67,18051.78,417.82,1054.0,12399.44,13920.62,1133.25,3056.84,1317.79,1739.05,4667.73,5601.0,522.29,340.0,8,1,1,2020,38449.91,45634.78312500001
50508.96,52764.19,42646.0,0.0,0.0,43577.0,6422.25,0.1474,3483.0,520.65,0.1495,40095.0,5901.6,0.1472,9342.8,9198.51,0.0,1796.99,75.42,1721.57,,,,,,,19338.72,19596.68,0.0,1502.0,15320.49,16929.25,0.0,3054.83,445.23,2609.6,6506.95,7039.75,0.0,68.43,2,6,3,2018,49935.83,61803.682708333334
73180.84,69536.28,50438.0,3422.83,0.0679,50259.0,23100.52,0.4596,5723.0,5065.09,0.885,44537.0,18035.43,0.405,14157.5,13070.43,465.0,6227.299999999999,652.94,5574.36,73708.37,70668.28,3422.83,23100.52,5065.09,18035.43,27565.34,27301.83,1226.73,5546.0,22484.91,19402.82,886.1,10598.91,4412.15,6186.76,8973.09,9761.2,845.0,728.31,11,27,11,2019,74082.55,63897.27104166666
48111.2,47067.69,38770.0,0.0,0.0,33397.0,4140.45,0.124,2219.0,53.25,0.024,31178.0,4087.2,0.1311,9126.63,8953.93,0.0,594.55,51.39,543.16,,,,,,,17471.41,18067.47,0.0,1828.0,15155.43,13657.29,0.0,1455.9299999999998,1.86,1454.07,6357.73,6389.0,0.0,261.97,2,17,3,2016,48049.55,61822.80489583333
59659.46,62818.31,,0.0,,,17696.62,,,6126.95,,,11569.67,,12392.3,11581.58,0.0,4877.58,892.91,3984.67,60170.27,63326.31,0.0,17696.62,6126.95,11569.67,21971.97,22656.64,0.0,2568.0,18276.49,20903.09,0.0,9947.71,5234.04,4713.67,7018.7,7677.0,0.0,303.33,18,18,1,2020,61079.49,55752.317083333335
48082.71,48609.68,48874.0,0.0,0.0,49108.0,9011.77,0.1835,5087.0,403.85,0.0794,44021.0,8607.92,0.1955,9032.33,8669.26,0.0,2026.66,10.98,2015.68,48495.39,49032.68,0.0,9011.77,403.85,8607.92,18696.9,18463.01,0.0,3159.0,14572.03,15618.63,0.0,2834.3399999999997,392.87,2441.47,5781.45,5858.78,0.0,991.77,0,1,3,2019,49328.61,61634.05479166666
39568.11,38786.23,41163.0,0.0,0.0,40435.0,14106.12,0.3489,3213.0,2712.36,0.8442,37221.0,11393.76,0.3061,7453.39,6679.42,0.0,3838.41,206.72,3631.69,,,,,,,15552.29,16116.89,0.0,2320.0,11910.78,11460.34,0.0,7744.5,2505.64,5238.86,4651.65,4529.58,0.0,203.21,1,19,8,2017,40138.75,55587.232500000006
66506.68,65209.01,37992.0,20029.87,0.5272,30526.0,2563.2799999999997,0.084,2062.0,69.99,0.0339,28464.0,2493.29,0.0876,11466.8,11466.8,4576.0,1583.1200000000001,53.42,1529.7,,,,,,,24952.36,23855.46,4692.83,305.0,20781.34,20722.75,7439.04,637.59,16.57,621.02,9306.18,9164.0,3322.0,37.57,9,7,8,2015,65701.2,55997.853541666664
50066.52,47578.94,,0.0,,,2339.3199999999997,,,118.12,,,2221.2,,10452.5,9757.72,0.0,676.41,0.0,676.41,50282.52,48019.94,0.0,2339.3199999999997,118.12,2221.2,18037.2,17823.08,0.0,545.0,15322.72,13900.14,0.0,1098.9099999999999,118.12,980.79,6254.1,6098.0,0.0,19.0,4,21,9,2020,41987.17,43774.425416666665
63854.66,61712.5,43825.0,12143.94,0.2771,45129.0,3384.74,0.075,3483.0,519.74,0.1492,41646.0,2865.0,0.0688,13493.7,10664.6,2515.0,2457.73,448.48,2009.25,,,,,,,23532.66,23076.58,3070.69,85.0,19176.43,20350.16,4859.25,758.92,71.26,687.66,7651.87,7621.16,1699.0,83.09,15,30,5,2018,64442.67,59803.721354166664
63166.3,59667.35,38826.0,12.67,0.0003,33743.0,16357.42,0.4848,2219.0,2009.81,0.9057,31524.0,14347.61,0.4551,11153.1,10563.1,4.0,3265.2799999999997,135.12,3130.16,,,,,,,24086.47,23219.89,4.46,4296.0,20084.45,17743.36,4.21,8652.62,1874.69,6777.93,7842.28,8141.0,0.0,143.52,18,6,4,2016,63265.53,59302.68177083333
